Seed Type,Location,Temperature Range,Soil Type,Budget Range
Barley,Rajasthan,20°C - 35°C,Loamy soil,3000
Rice,Rajasthan,10°C - 25°C,Sandy soil,1000
Barley,Maharashtra,10°C - 25°C,Sandy soil,800
Pulses,Andhra Pradesh,25°C - 35°C,Sandy loam soil,500
Soybean,Maharashtra,10°C - 25°C,Loamy soil,800
Rice,Rajasthan,15°C - 25°C,Clayey soil,400
Sugarcane,West Bengal,10°C - 25°C,Sandy loam soil,1200
Groundnut,West Bengal,25°C - 35°C,Clayey soil,700
Groundnut,Telangana,15°C - 25°C,Sandy soil,400
Wheat,Andhra Pradesh,20°C - 35°C,Sandy loam soil,500
Barley,Punjab,10°C - 25°C,Sandy soil,1100
Groundnut,Punjab,25°C - 35°C,Sandy loam soil,3000
Rice,Rajasthan,25°C - 35°C,Sandy loam soil,1100
Soybean,Telangana,15°C - 25°C,Sandy soil,1200
Rice,Gujarat,20°C - 30°C,Sandy loam soil,600
Soybean,Andhra Pradesh,25°C - 35°C,Clayey soil,3000
Sugarcane,Andhra Pradesh,25°C - 35°C,Sandy loam soil,600
Sorghum,Maharashtra,15°C - 25°C,Sandy loam soil,1200
Barley,Telangana,25°C - 35°C,Loamy soil,400
Rice,Telangana,20°C - 30°C,Sandy loam soil,3000
Groundnut,Uttar Pradesh,20°C - 30°C,Sandy soil,600
Wheat,Gujarat,20°C - 35°C,Clayey soil,1100
Maize,Tamil Nadu,20°C - 30°C,Sandy loam soil,1100
Sorghum,Punjab,10°C - 25°C,Sandy soil,600
Barley,Gujarat,20°C - 30°C,Sandy soil,1000
Maize,Gujarat,25°C - 35°C,Loamy soil,3000
Sorghum,Tamil Nadu,20°C - 35°C,Clayey soil,800
Groundnut,Madhya Pradesh,15°C - 25°C,Sandy soil,400
Pulses,Telangana,15°C - 25°C,Sandy loam soil,900
Sugarcane,West Bengal,20°C - 30°C,Sandy soil,500
Rice,Maharashtra,20°C - 30°C,Sandy soil,1200
Rice,Gujarat,20°C - 35°C,Loamy soil,1200
Soybean,Rajasthan,15°C - 25°C,Sandy soil,1000
Wheat,Uttar Pradesh,25°C - 35°C,Sandy soil,1000
Maize,Uttar Pradesh,20°C - 35°C,Loamy soil,600
Pulses,Uttar Pradesh,20°C - 35°C,Sandy loam soil,700
Maize,Madhya Pradesh,20°C - 35°C,Loamy soil,3000
Barley,Madhya Pradesh,10°C - 25°C,Loamy soil,1200
Barley,Rajasthan,25°C - 35°C,Sandy loam soil,800
Sorghum,Tamil Nadu,20°C - 30°C,Sandy loam soil,1200
Soybean,West Bengal,15°C - 25°C,Loamy soil,700
Soybean,Rajasthan,10°C - 25°C,Clayey soil,1100
Sorghum,West Bengal,25°C - 35°C,Sandy soil,500
Maize,Andhra Pradesh,20°C - 30°C,Sandy soil,900
Soybean,Tamil Nadu,10°C - 25°C,Sandy soil,600
Groundnut,Madhya Pradesh,10°C - 25°C,Sandy soil,3000
Groundnut,West Bengal,10°C - 25°C,Sandy soil,3000
Soybean,Gujarat,25°C - 35°C,Sandy loam soil,700
Rice,Uttar Pradesh,15°C - 25°C,Loamy soil,600
Groundnut,Andhra Pradesh,10°C - 25°C,Sandy loam soil,700
Pulses,Andhra Pradesh,15°C - 25°C,Sandy loam soil,700
Maize,Uttar Pradesh,10°C - 25°C,Clayey soil,800
Maize,Madhya Pradesh,15°C - 25°C,Sandy soil,600
Cotton,Uttar Pradesh,10°C - 25°C,Sandy loam soil,1100
Maize,Gujarat,10°C - 25°C,Clayey soil,3000
Sugarcane,Tamil Nadu,20°C - 30°C,Clayey soil,600
Wheat,Uttar Pradesh,10°C - 25°C,Loamy soil,900
Barley,Punjab,15°C - 25°C,Sandy loam soil,400
Wheat,Gujarat,15°C - 25°C,Loamy soil,600
Maize,Punjab,20°C - 30°C,Loamy soil,700
Pulses,Tamil Nadu,15°C - 25°C,Sandy soil,1100
Maize,Telangana,20°C - 35°C,Sandy soil,500
Soybean,Telangana,10°C - 25°C,Sandy soil,700
Sugarcane,West Bengal,10°C - 25°C,Clayey soil,700
Barley,Andhra Pradesh,20°C - 30°C,Sandy loam soil,1100
Soybean,Gujarat,10°C - 25°C,Sandy soil,3000
Rice,Rajasthan,20°C - 30°C,Sandy soil,1200
Sugarcane,Madhya Pradesh,15°C - 25°C,Sandy loam soil,900
Sugarcane,Rajasthan,20°C - 30°C,Loamy soil,1200
Sorghum,Tamil Nadu,15°C - 25°C,Clayey soil,1100
Soybean,Madhya Pradesh,10°C - 25°C,Sandy loam soil,3000
Sorghum,Tamil Nadu,20°C - 35°C,Loamy soil,1200
Maize,Telangana,10°C - 25°C,Sandy soil,400
Soybean,Punjab,15°C - 25°C,Sandy loam soil,1100
Sorghum,Uttar Pradesh,20°C - 30°C,Sandy loam soil,400
Groundnut,Uttar Pradesh,25°C - 35°C,Clayey soil,400
Rice,Madhya Pradesh,10°C - 25°C,Clayey soil,400
Sorghum,Madhya Pradesh,20°C - 35°C,Clayey soil,400
Sorghum,Rajasthan,20°C - 30°C,Sandy loam soil,600
Rice,Maharashtra,10°C - 25°C,Sandy loam soil,1100
Barley,Maharashtra,25°C - 35°C,Loamy soil,400
Rice,Maharashtra,20°C - 35°C,Clayey soil,500
Cotton,Gujarat,15°C - 25°C,Sandy loam soil,800
Soybean,Tamil Nadu,20°C - 30°C,Loamy soil,800
Maize,West Bengal,20°C - 30°C,Sandy loam soil,500
Pulses,Rajasthan,20°C - 35°C,Loamy soil,1200
Groundnut,Telangana,25°C - 35°C,Sandy soil,500
Sorghum,Maharashtra,15°C - 25°C,Loamy soil,600
Barley,Madhya Pradesh,20°C - 35°C,Sandy soil,700
Pulses,Tamil Nadu,15°C - 25°C,Sandy soil,3000
Groundnut,Uttar Pradesh,20°C - 35°C,Clayey soil,500
Sorghum,Gujarat,20°C - 30°C,Clayey soil,1000
Pulses,Uttar Pradesh,10°C - 25°C,Clayey soil,400
Wheat,Andhra Pradesh,25°C - 35°C,Clayey soil,1000
Maize,West Bengal,20°C - 35°C,Loamy soil,700
Cotton,Madhya Pradesh,15°C - 25°C,Sandy soil,900
Sugarcane,Andhra Pradesh,25°C - 35°C,Clayey soil,1100
Sugarcane,Madhya Pradesh,20°C - 35°C,Loamy soil,1100
Cotton,Rajasthan,10°C - 25°C,Sandy loam soil,900
Sugarcane,Rajasthan,20°C - 35°C,Sandy soil,600
Rice,Andhra Pradesh,25°C - 35°C,Sandy soil,3000
Maize,Maharashtra,10°C - 25°C,Loamy soil,800
Barley,Punjab,10°C - 25°C,Sandy loam soil,1200
Sorghum,Madhya Pradesh,15°C - 25°C,Sandy soil,600
Cotton,Uttar Pradesh,25°C - 35°C,Clayey soil,900
Barley,Tamil Nadu,10°C - 25°C,Loamy soil,500
Cotton,Tamil Nadu,25°C - 35°C,Sandy loam soil,500
Wheat,Rajasthan,15°C - 25°C,Clayey soil,700
Wheat,Uttar Pradesh,20°C - 30°C,Loamy soil,3000
Wheat,Maharashtra,20°C - 35°C,Clayey soil,3000
Sugarcane,Punjab,10°C - 25°C,Sandy soil,1000
Sugarcane,Telangana,10°C - 25°C,Sandy loam soil,1000
